Date,Cash Available,Cash Invested,Open,High,Low,Close
2010-01-19,100000,0,106.935402,106.935402,106.935402,106.935402
2010-01-20,100000,0,106.860497,106.860497,106.860497,106.860497
2010-01-21,51236.786331999996,48763.213668000004,104.194901,104.194901,104.194901,104.194901
2010-01-22,51236.786331999996,48369.202596,103.352997,103.352997,103.352997,103.352997
2010-01-25,3724.8174639999997,95023.93773599999,101.521301,101.521301,101.521301,101.521301
2010-01-27,3724.8174639999997,91600.70212799999,97.863998,97.863998,97.863998,97.863998
2010-01-28,3724.8174639999997,92569.180392,98.898697,98.898697,98.898697,98.898697
2010-01-29,3724.8174639999997,93313.676664,99.694099,99.694099,99.694099,99.694099
2010-02-01,3724.8174639999997,94863.691728,101.350098,101.350098,101.350098,101.350098
2010-02-02,3724.8174639999997,93839.71334399999,100.256104,100.256104,100.256104,100.256104
2010-02-03,3724.8174639999997,95829.27026399999,102.381699,102.381699,102.381699,102.381699
2010-02-04,3724.8174639999997,94026.816936,100.456001,100.456001,100.456001,100.456001
2010-02-05,5719.366020679998,92504.881872,103.0,103.0,98.0,98.830002
2010-02-08,54405.012148,46968.480468,106.0,106.0,98.559998,100.360001
2010-02-09,54405.012148,47038.680936,100.300003,101.0,99.5,100.510002
2010-02-10,8396.436484680009,93506.401872,101.25,101.449997,99.5,99.900002
2010-02-11,102395.74943004001,0,101.0,101.699997,100.0,100.529999
2010-02-15,102395.74943004001,0,100.529999,101.800003,100.529999,100.790001
2010-02-16,102395.74943004001,0,101.0,101.43,100.050003,101.040001
2010-02-17,102739.71943004003,0,102.0,102.879997,100.75,101.809998
2010-02-18,8325.397090040024,94479.841872,102.900002,102.900002,100.800003,100.940002
2010-02-19,103428.78265344004,0,100.800003,103.0,100.019997,100.629997
2010-02-22,103428.78265344004,0,100.150002,101.5,99.599998,99.849998
2010-02-23,103428.78265344004,0,99.75,100.449997,99.0,99.650002
2010-02-24,103428.78265344004,0,99.199997,99.849998,98.5,99.489998
2010-02-25,103428.78265344004,0,99.0,103.970001,99.0,99.239998
2010-02-26,103768.04304876005,0,101.0,102.0,99.529999,100.989998
2010-03-02,104106.69505812005,0,100.800003,103.449997,99.400002,102.699997
2010-03-03,104106.69505812005,0,103.900002,105.5,103.010002,105.370003
2010-03-04,104463.57706748006,0,105.5,106.339996,104.150002,106.0
2010-03-05,104463.57706748006,0,106.900002,106.980003,106.0,106.889999
2010-03-08,104827.11706748007,0,107.25,107.900002,106.0,107.389999
2010-03-09,5330.31753548007,99590.401872,107.5,107.5,106.199997,106.400002
2010-03-10,5330.31753548007,98635.677192,106.5,107.0,105.040001,105.379997
2010-03-11,5330.31753548007,98710.559064,107.0,107.0,105.0,105.459999
2010-03-12,5330.31753548007,98766.717192,106.0,106.050003,104.349998,105.519997
2010-03-15,5330.31753548007,98233.19719199999,105.300003,105.400002,104.07,104.949997
2010-03-16,5330.31753548007,98832.236256,105.0,105.800003,103.75,105.589996
2010-03-17,5330.31753548007,98616.960936,106.0,107.0,105.300003,105.360001
2010-03-18,5330.31753548007,99159.841872,106.300003,106.300003,104.599998,105.940002
2010-03-19,5330.31753548007,99637.19719199999,106.5,106.989998,105.209999,106.449997
2010-03-22,5330.31753548007,98822.881872,105.5,106.650002,103.900002,105.580002
2010-03-23,5330.31753548007,98766.717192,106.5,106.5,105.5,105.519997
2010-03-25,5330.31753548007,99262.80280800001,106.0,106.239998,104.889999,106.050003
2010-03-26,55396.39211744007,50160.240000000005,106.449997,107.349998,105.510002,107.18
2010-03-29,55758.62412680005,50019.838596,107.5,108.050003,106.400002,106.879997
2010-03-30,55849.415668160036,50328.720468,108.199997,108.300003,106.980003,107.540001
2010-03-31,106644.63947216002,0,108.400002,108.5,106.699997,108.190002
2010-04-01,106644.63947216002,0,108.599998,108.879997,108.0,108.650002
2010-04-05,107013.35947216002,0,109.5,111.699997,108.0,109.989998
2010-04-06,55650.359472160024,51657.838596,111.0,111.0,109.75,110.379997
2010-04-07,107388.26947216003,0,111.0,111.75,110.0,110.980003
2010-04-08,107388.26947216003,0,110.800003,111.239998,109.699997,110.260002
2010-04-09,107388.26947216003,0,110.699997,111.0,110.25,110.68
2010-04-12,56142.26947216003,51414.480468,110.699997,111.0,109.5,109.860001
